GID,PRCL_KEY,PRCL_TYPE,LSTATUS,WSTATUS,GEOM_AREA,COMMENTS,TAG_X,TAG_Y,TAG_VALUE,TAG_SIZE,TAG_ANGLE,TAG_JUST,ID,DATE_STAMP,PROVINCE,MAJ_REGION,MAJ_CODE,MIN_REGION,MIN_CODE,PARCEL_NO,PORTION,SS_NAME,DSG_NO,SR_NO,SS_NO
3587476,E124C038004200001303000000,E,S,C,759.575102,,27.148297,-32.677634,"1303",0.000021,0.001182,MC,C03800420000130300000,2020/09/28,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1303,0,,,,
3579078,E124C038004200000608000000,E,S,C,466.514837,,27.146313,-32.682384,"608",0.000016,0.001166,MC,C03800420000060800000,2020/03/23,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,608,0,,,,
3075668,E124C038004200000214000000,E,S,C,1518.380000,,27.148828,-32.684558,"214",0.000020,6.279200,MC,C03800420000021400000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,214,0,,,,
3075669,E124C038004200001295000000,E,S,C,1513.580000,,27.148691,-32.684743,"1295",0.000020,6.279199,MC,C03800420000129500000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1295,0,,,,
3075670,E124C038004200000212000000,E,S,C,1532.980000,,27.149102,-32.684189,"212",0.000020,6.279200,MC,C03800420000021200000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,212,0,,,,
3075671,E124C038004200000213000000,E,S,C,1527.490000,,27.148965,-32.684373,"213",0.000020,6.279200,MC,C03800420000021300000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,213,0,,,,
403600,E124C038004200000003000001,E,S,C,25502.779992,,27.140681,-32.694202,RE/3,0.000020,0.000000,MC,C03800420000000300000,2020/09/28,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,3,0,,,,
431204,E124C038004200001075000000,E,S,C,307.030000,,27.135752,-32.682345,"1075",0.000020,0.000000,MC,C03800420000107500000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1075,0,,,,
418435,E127C038002600001183000000,E,S,C,20558.360000,,27.018538,-32.725752,"1183",0.000020,0.000000,MC,C03800260000118300000,2009/08/20,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,EBENEZER MHLAMBISO,C0380026,1183,0,,,,
418841,E127C038002600000210000000,E,S,C,2296.830000,,27.017274,-32.726369,"210",0.000020,0.000000,MC,C03800260000021000000,2009/08/20,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,EBENEZER MHLAMBISO,C0380026,210,0,,,,
418842,E127C038002600000211000000,E,S,C,1925.370000,,27.017576,-32.726560,"211",0.000020,0.000000,MC,C03800260000021100000,2009/08/20,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,EBENEZER MHLAMBISO,C0380026,211,0,,,,
431599,E124C038004200000630000000,E,S,C,485.491499,,27.148378,-32.687478,"630",0.000020,0.000000,MC,C03800420000063000000,2013/12/02,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,630,0,,,,
431600,E124C038004200000631000000,E,R,H,487.377688,,27.148301,-32.687582,"631",0.000020,0.000000,MC,C03800420000063100000,2013/04/03,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,631,0,,,,
431602,E124C038004200000634000000,E,S,C,1773.010000,,27.147974,-32.688029,"634",0.000020,0.000000,MC,C03800420000063400000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,634,0,,,,
431605,E124C038004200000638000000,E,S,C,84396.310000,,27.128787,-32.680472,"638",0.000020,0.000000,MC,C03800420000063800000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,638,0,,,,
431607,E124C038004200000640000000,E,S,C,2541.720000,,27.124355,-32.679229,"640",0.000020,0.000000,MC,C03800420000064000000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,640,0,,,,
431608,E124C038004200000641000000,E,S,C,2326.841190,,27.123705,-32.679281,"641",0.000020,0.000000,MC,C03800420000064100000,2014/06/09,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,641,0,,,,
431609,E124C038004200001076000000,E,S,C,307.030000,,27.135602,-32.682400,"1076",0.000020,0.000000,MC,C03800420000107600000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1076,0,,,,
431619,E124C038004200001086000000,E,S,C,307.050000,,27.135067,-32.682398,"1086",0.000020,0.000000,MC,C03800420000108600000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1086,0,,,,
431621,E124C038004200001088000000,E,S,C,307.040000,,27.135368,-32.682288,"1088",0.000020,0.000000,MC,C03800420000108800000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1088,0,,,,
431623,E124C038004200001090000000,E,S,C,307.030000,,27.135668,-32.682179,"1090",0.000020,0.000000,MC,C03800420000109000000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1090,0,,,,
431624,E124C038004200001091000000,E,S,C,307.020000,,27.135819,-32.682125,"1091",0.000020,0.000000,MC,C03800420000109100000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1091,0,,,,
431626,E124C038004200001093000000,E,S,C,307.010000,,27.136120,-32.682016,"1093",0.000020,0.000000,MC,C03800420000109300000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1093,0,,,,
