lmMetro,lm,dm,province,country
lm,Abaqulusi lm,Zululand,KwaZulu-Natal,South Africa
lm,Alfred Duma lm,Uthukela,KwaZulu-Natal,South Africa
lm,Amahlathi lm,Amathole,Eastern Cape,South Africa
lm,Ba-Phalaborwa lm,Mopani,Limpopo,South Africa
lm,Beaufort West lm,Central Karoo,Western Cape,South Africa
lm,Bela-Bela lm,Waterberg,Limpopo,South Africa
lm,Bergrivier lm,West Coast,Western Cape,South Africa
lm,Big Five Hlabisa lm,Umkhanyakude,KwaZulu-Natal,South Africa
lm,Bitou lm,Eden,Western Cape,South Africa
lm,Blouberg lm,Capricorn,Limpopo,South Africa
lm,Blue Crane Route lm,Cacadu,Eastern Cape,South Africa
lm,Breede Valley lm,Cape Winelands,Western Cape,South Africa
metro,Buffalo City metro,Buffalo City,Eastern Cape,South Africa
lm,Bushbuckridge lm,Ehlanzeni,Mpumalanga,South Africa
lm,Cape Agulhas lm,Overberg,Western Cape,South Africa
lm,Cederberg lm,West Coast,Western Cape,South Africa
lm,Chief Albert Luthuli lm,Gert Sibande,Mpumalanga,South Africa
metro,City of Cape Town metro,City of Cape Town,Western Cape,South Africa
metro,City of Johannesburg metro,City of Johannesburg,Gauteng,South Africa
lm,City of Matlosana lm,Dr Kenneth Kaunda,North West,South Africa
metro,City of Tshwane metro,City of Tshwane,Gauteng,South Africa
lm,Collins Chabane lm,Vhembe,Limpopo,South Africa
lm,Dannhauser lm,Amajuba,KwaZulu-Natal,South Africa
lm,Dawid Kruiper lm,Z F Mgcawu,Nothern Cape,South Africa
lm,Dihlabeng lm,Thabo Mofutsanyane,Free State,South Africa
lm,Dikgatlong lm,Frances Baard,Nothern Cape,South Africa
lm,Dipaleseng lm,Gert Sibande,Mpumalanga,South Africa
lm,Ditsobotla lm,Ngaka Modiri Molema,North West,South Africa
lm,Dr Beyers Naude lm,Cacadu,Eastern Cape,South Africa
lm,Dr JS Moroka lm,Nkangala,Mpumalanga,South Africa
lm,Dr Nkosazana Dlamini Zuma lm,Sisonke,KwaZulu-Natal,South Africa
lm,Dr Pixley Ka Isaka Seme lm,Gert Sibande,Mpumalanga,South Africa
